"geoid10","pop","vap","obama","mccain","TotPop","BlackPop","HispPop","VAP_1","BlackVAP","HispVAP"
NA,1011,947,134,148,1011,28,426,947,27,402
NA,1781,1672,361,238,1781,83,1068,1672,81,1000
NA,3512,3283,592,276,3512,161,1872,3283,157,1734
NA,2442,2076,529,179,2442,95,951,2076,79,833
NA,756,699,320,214,756,38,379,699,35,345
NA,0,0,365,570,0,0,0,0,0,0
NA,8224,7349,1297,454,8224,248,2596,7349,229,2327
NA,4542,4203,645,311,4542,182,2443,4203,167,2226
NA,490,444,236,106,490,35,332,444,32,292
NA,3535,3274,762,360,3535,195,2004,3274,187,1832
NA,1873,1771,546,254,1873,79,870,1771,78,817
NA,2419,1776,652,287,2419,63,689,1776,59,556
NA,2417,1739,759,204,2417,38,556,1739,27,447
NA,747,695,302,181,747,40,442,695,39,413
NA,1345,1135,504,303,1345,18,593,1135,14,512
NA,0,0,0,0,0,0,0,0,0,0
NA,5101,4125,1442,800,5101,96,2288,4125,74,1961
NA,1324,1133,210,152,1324,36,350,1133,31,304
NA,5678,5079,861,281,5678,685,3517,5079,612,3105
NA,1721,1501,241,153,1721,84,654,1501,70,565
NA,344,327,0,0,344,15,138,327,15,133
NA,3079,2778,525,283,3079,153,1700,2778,145,1526
NA,3200,3001,271,129,3200,296,1519,3001,283,1424
NA,2807,2641,485,440,2807,129,1518,2641,115,1408
NA,3767,3432,325,329,3767,102,1377,3432,95,1269
NA,1595,1538,163,132,1595,139,963,1538,136,918
NA,594,522,83,63,594,23,102,522,20,86
NA,13224,12075,327,255,13224,1278,7149,12075,1214,6503
NA,5423,4855,303,67,5423,989,2490,4855,869,2227
NA,0,0,0,0,0,0,0,0,0,0
NA,18,14,4,2,18,11,4,14,8,3
NA,6276,5087,533,293,6276,1036,4396,5087,762,3586
NA,1046,770,155,12,1046,840,181,770,584,159
NA,2944,2115,792,15,2944,2626,321,2115,1863,238
NA,1974,1819,117,162,1974,255,1204,1819,208,1132
NA,5146,4040,607,114,5146,2538,2470,4040,1842,2076
NA,2858,1995,744,9,2858,2191,687,1995,1497,505
NA,2375,1945,514,320,2375,237,874,1945,190,715
NA,10440,8527,374,1154,10440,675,9692,8527,553,8060
NA,13992,11232,370,980,13992,771,13000,11232,667,10569
NA,497,402,227,293,497,6,208,402,6,183
NA,5527,4679,1286,277,5527,1719,1985,4679,1359,1714
NA,4382,3707,738,312,4382,255,2661,3707,219,2216
NA,2755,2330,357,169,2755,177,1478,2330,158,1271
NA,2548,2280,420,415,2548,128,1834,2280,118,1662
NA,5817,4770,687,404,5817,399,4238,4770,330,3486
NA,1372,1114,270,164,1372,88,888,1114,75,716
NA,7795,5722,1013,87,7795,6412,1061,5722,4595,847
NA,385,308,113,35,385,96,174,308,78,146
NA,5870,4343,1173,51,5870,5055,641,4343,3698,512
NA,4707,3874,841,227,4707,1992,1843,3874,1587,1516
NA,4083,2934,493,44,4083,2753,1331,2934,1956,972
NA,3838,2738,1004,37,3838,2902,901,2738,2056,667
NA,2590,2093,844,127,2590,1301,698,2093,1036,560
NA,2464,1713,680,17,2464,2245,227,1713,1546,170
NA,3993,2905,813,85,3993,1859,2126,2905,1337,1588
NA,3547,2954,727,85,3547,1356,1391,2954,1102,1140
NA,1619,1112,786,5,1619,1361,258,1112,932,185
NA,2765,2058,902,20,2765,2089,681,2058,1558,504
NA,1854,1333,548,33,1854,1143,721,1333,824,513
NA,3598,2199,1002,8,3598,3271,326,2199,1989,212
NA,7364,5528,770,393,7364,2112,5642,5528,1553,4357
NA,3223,2415,989,50,3223,2540,656,2415,1906,488
NA,2806,2111,1019,35,2806,2129,716,2111,1645,518
NA,2083,1724,731,39,2083,1764,261,1724,1437,231
NA,3483,2570,1427,29,3483,3013,485,2570,2226,343
NA,2181,1753,663,239,2181,513,831,1753,407,673
NA,2334,1790,711,425,2334,324,689,1790,239,510
NA,3100,2299,599,69,3100,2074,918,2299,1518,679
NA,1220,957,431,52,1220,491,434,957,371,341
