"fips","name","cd_2010","pop","white","black","hisp","vap","wvap","bvap","hvap","tot_08","dem_08","rep_08","region"
"19001","Adair",3,7682,7507,11,101,5957,5860,5,53,4053,1924,2060,"South"
"19003","Adams",3,4029,3922,8,37,3180,3109,6,22,2206,1118,1046,"South"
"19005","Allamakee",1,14330,13325,109,757,11020,10430,82,425,7059,3971,2965,"Northeast"
"19007","Appanoose",2,12887,12470,55,181,9993,9745,40,99,6176,2970,3086,"South"
"19009","Audubon",4,6119,6007,9,37,4780,4714,5,27,3435,1739,1634,"Northwest"
"19011","Benton",1,26076,25387,93,275,19430,19068,49,155,13712,7058,6447,"Southeast"
"19013","Black Hawk",1,131090,109968,11493,4907,102594,89541,7677,2865,64775,39184,24662,"Northeast"
"19015","Boone",4,26306,25194,202,505,20027,19448,103,260,13929,7356,6293,"Central"
"19017","Bremer",1,24276,23459,186,239,18763,18242,155,137,12871,6940,5741,"Northeast"
"19019","Buchanan",1,20958,20344,59,243,15282,14979,32,128,10338,6050,4139,"Northeast"
"19021","Buena Vista",4,20260,13756,497,4608,15204,11174,306,2743,8418,4075,4223,"Northwest"
"19023","Butler",4,14867,14552,25,133,11364,11217,10,59,7166,3364,3700,"Northeast"
"19025","Calhoun",4,9670,9470,19,90,7618,7518,7,45,5195,2341,2741,"Northwest"
"19027","Carroll",4,20816,20119,82,333,15640,15274,41,188,10387,5302,4922,"Northwest"
"19029","Cass",3,13956,13502,33,253,10768,10503,24,146,7350,3211,4006,"South"
"19031","Cedar",2,18499,17897,52,284,13962,13630,27,164,9665,5221,4289,"Southeast"
"19033","Cerro Gordo",4,44151,40876,555,1694,34660,32727,346,1021,24140,14405,9375,"Northeast"
"19035","Cherokee",4,12072,11553,64,274,9517,9237,43,148,6365,2890,3372,"Northwest"
"19037","Chickasaw",4,12439,12048,29,269,9404,9199,11,141,6583,3923,2557,"Northeast"
"19039","Clarke",2,9286,8208,38,927,6940,6304,26,541,4443,2218,2118,"South"
"19041","Clay",4,16667,15843,68,477,12837,12386,39,265,8398,3925,4355,"Northwest"
"19043","Clayton",1,18129,17563,60,306,13925,13610,28,163,8989,5195,3651,"Northeast"
"19045","Clinton",2,49116,45454,1258,1243,37526,35416,848,695,24719,15018,9324,"Southeast"
"19047","Crawford",4,17096,12541,195,4131,12580,9969,122,2347,7191,3715,3345,"Northwest"
"19049","Dallas",3,66135,58630,890,4059,46914,42593,538,2303,32640,15149,16954,"Central"
"19051","Davis",2,8753,8556,7,85,6203,6097,3,42,3815,1680,2029,"South"
"19053","Decatur",2,8457,7946,149,181,6539,6153,126,122,4102,1986,2020,"South"
"19055","Delaware",1,17764,17408,45,139,13281,13094,29,76,8901,4649,4113,"Southeast"
"19057","Des Moines",2,40325,36059,2005,1042,30982,28604,1227,584,20570,12462,7721,"Southeast"
"19059","Dickinson",4,16667,16255,29,178,13440,13208,13,110,9906,4625,5162,"Northwest"
"19061","Dubuque",1,93653,86981,2436,1807,71401,67499,1442,1102,47953,28611,18651,"Southeast"
"19063","Emmet",4,10302,9319,61,763,7932,7392,47,411,5015,2570,2373,"Northwest"
"19065","Fayette",1,20880,19987,196,380,16189,15619,165,236,10259,5908,4205,"Northeast"
"19067","Floyd",4,16303,15443,200,331,12412,11939,108,161,8091,4822,3051,"Northeast"
"19069","Franklin",4,10680,9334,19,1209,8133,7352,11,701,5148,2575,2501,"Northeast"
"19071","Fremont",3,7441,7123,32,187,5742,5559,17,107,3894,1848,1989,"South"
"19073","Greene",4,9336,9017,22,171,7180,7001,6,103,4804,2371,2349,"Northwest"
"19075","Grundy",4,12453,12190,26,122,9488,9382,10,50,6828,2790,3945,"Northeast"
"19077","Guthrie",3,10954,10595,16,202,8333,8130,11,114,5847,2625,3074,"Northwest"
"19079","Hamilton",4,15673,14344,40,782,11904,11140,29,447,8078,4018,3913,"Northwest"
"19081","Hancock",4,11341,10744,50,398,8683,8385,18,203,5930,2805,3016,"Northeast"
"19083","Hardin",4,17534,16430,208,651,13486,12842,145,378,8859,4393,4315,"Central"
"19085","Harrison",4,14928,14532,25,183,11333,11132,10,87,7578,3555,3909,"South"
"19087","Henry",2,20145,18141,435,764,15476,14169,312,490,9377,4349,4822,"Southeast"
"19089","Howard",1,9566,9314,25,118,7154,7033,13,59,4728,2941,1722,"Northeast"
"19091","Humboldt",4,9815,9288,39,357,7557,7275,22,202,5122,2160,2895,"Northwest"
"19093","Ida",4,7089,6907,17,100,5391,5298,9,53,3547,1454,2036,"Northwest"
"19095","Iowa",1,16355,15818,53,307,12338,12037,35,167,8546,4202,4188,"Southeast"
"19097","Jackson",1,19848,19223,58,220,15243,14915,29,113,9955,6102,3673,"Southeast"
"19099","Jasper",2,36842,35284,464,537,28425,27396,408,316,19421,10250,8794,"Central"
"19101","Jefferson",2,16843,14539,199,410,13777,11813,166,279,8631,5070,3324,"South"
